sample_ID	是否建库成功	是否参与 MAG abundance 分析	depth	site	岩性
SB1-1	yes	yes	0.25	puyang	素填土
SB1-2	yes	yes	1.25	puyang	粉粘
SB1-3	yes	yes	2.75	puyang	粉粘
SB1-4	yes	yes	3.75	puyang	粉粘
SB1-5	no	no	4.25	puyang	粉粘
SB2-1	yes	yes	0.25	puyang	杂填土
SB2-2	no	no	1.75	puyang	粉粘
SB2-3	no	no	2.25	puyang	粉粘
SB2-4	no	no	3.25	puyang	粉粘
SB2-5	no	no	4.25	puyang	粉粘
SB3-1	no	no	0.25	puyang	杂填土
SB3-2	no	no	1.75	puyang	粉粘
SB3-3	yes	yes	2.75	puyang	粉粘
SB3-4	no	no	3.75	puyang	粉粘
SB3-5	no	no	4.75	puyang	粉粘
SB4-1	no	no	0.25	puyang	杂填土
SB4-2	yes	yes	1.75	puyang	粉粘
SB4-3	yes	yes	2.25	puyang	粉粘
SB4-4	no	no	3.25	puyang	粉粘
SB4-5	no	no	4.75	puyang	粉粘
SB6-1	yes	yes	0.25	puyang	杂填土
SB6-2	yes	yes	1.25	puyang	粉粘
SB6-3	yes	yes	2.75	puyang	粉粘
SB6-4	yes	yes	3.75	puyang	粉粘
SB6-5	yes	yes	4.75	puyang	粉粘
SB7-1	yes	yes	0.25	puyang	杂填土
SB7-2	yes	yes	1.25	puyang	粉粘
SB7-3	yes	yes	2.25	puyang	粉粘
SB7-4	yes	yes	3.75	puyang	粉粘
SB7-5	yes	yes	4.75	puyang	粉粘
SB8-1	yes	yes	0.25	puyang	杂填土
SB8-2	yes	yes	1.25	puyang	粉粘
SB8-3	yes	yes	2.75	puyang	粉粘
SB8-4	yes	yes	3.75	puyang	粉粘
SB8-5	yes	yes	4.25	puyang	粉粘
SB9-1	no	no	0.25	puyang	杂填土
SB9-2	yes	yes	1.25	puyang	粉粘
SB9-3	no	no	2.25	puyang	粉粘
SB9-4	no	no	3.25	puyang	粉粘
SB9-5	no	no	4.25	puyang	粉粘
SB10-1	yes	yes	0.25	puyang	杂填土
SB10-2	yes	yes	1.25	puyang	粉粘
SB10-3	yes	yes	2.75	puyang	粉粘
SB10-4	no	no	3.75	puyang	粉粘
SB10-5	yes	yes	4.25	puyang	粉粘
SB11-1	yes	yes	0.25	puyang	杂填土
SB11-2	yes	yes	1.25	puyang	粉粘
SB11-3	yes	yes	2.75	puyang	粉粘
SB11-4	no	no	3.25	puyang	粉粘
SB11-5	yes	yes	4.25	puyang	粉粘
SB12-1	yes	yes	0.25	puyang	杂填土
SB12-2	yes	yes	1.75	puyang	粉粘
SB12-3	no	no	2.75	puyang	粉粘
SB12-4	yes	yes	3.75	puyang	粉粘
SB12-5	no	no	4.25	puyang	粉粘
SB14-1	yes	yes	0.25	puyang	杂填土
SB14-2	yes	yes	1.75	puyang	杂填土
SB14-3	no	no	2.25	puyang	杂填土
SB14-4	no	no	3.75	puyang	粉粘
SB14-5	no	no	4.25	puyang	粉粘
SB15-1	yes	yes	0.25	puyang	素填土
SB15-2	yes	yes	1.25	puyang	素填土
SB15-3	no	no	2.75	puyang	素填土
SB15-4	no	no	3.25	puyang	粉粘
SB15-5	no	no	4.25	puyang	粉粘
SB16-1	yes	yes	0.25	puyang	素填土
SB16-2	yes	yes	1.75	puyang	素填土
SB16-3	no	no	2.25	puyang	素填土
SB16-4	no	no	3.75	puyang	粉粘
SB16-5	yes	yes	4.75	puyang	粉粘
SB21-1	yes	yes	0.25	puyang	杂填土
SB21-2	yes	yes	1.75	puyang	粉粘
SB21-3	no	no	2.75	puyang	粉粘
SB21-4	no	no	3.75	puyang	粉粘
SB21-5	no	no	4.75	puyang	粉粘
S1-1	yes	yes	0.5	hangzhou	杂填土
S1-2	yes	yes	1.5	hangzhou	粉粘
S1-3	yes	yes	2.5	hangzhou	粉粘
S1-4	no	no	3.5	hangzhou	粉粘
S1-5	no	no	4.5	hangzhou	粉粘
S1-6	no	no	5.5	hangzhou	粉粘
S2-1	yes	yes	0.5	hangzhou	杂填土
S2-2	yes	yes	1.5	hangzhou	粉粘
S2-3	yes	yes	2.5	hangzhou	粉粘
S2-4	no	no	3.5	hangzhou	粉粘
S2-5	no	no	4.5	hangzhou	粉粘
S2-6	no	no	5.5	hangzhou	粉粘
S3-1	yes	yes	0.5	hangzhou	杂填土
S3-2	yes	yes	1.5	hangzhou	杂填土
S3-3	yes	yes	2.5	hangzhou	杂填土
S3-4	yes	yes	3.5	hangzhou	淤泥质粉粘
S3-5	yes	yes	4.5	hangzhou	粉粘
S3-6	no	no	5.5	hangzhou	粉粘
S4-1	yes	yes	0.5	hangzhou	杂填土
S4-2	yes	yes	1.5	hangzhou	杂填土
S4-3	yes	yes	2.5	hangzhou	淤泥质粉粘
S4-4	no	no	3.5	hangzhou	淤泥质粉粘
S4-5	no	no	4.5	hangzhou	粉粘
S4-6	no	no	5.5	hangzhou	粉粘
S5-1	yes	yes	0.5	hangzhou	杂填土
S5-2	yes	yes	1.5	hangzhou	杂填土
S5-3	yes	yes	2.5	hangzhou	粉粘
S5-4	no	no	3.5	hangzhou	粉粘
S5-5	yes	yes	4.5	hangzhou	粉粘
S5-6	no	no	5.5	hangzhou	粉粘
S6-1	no	no	0.5	hangzhou	杂填土
S6-2	yes	yes	1.5	hangzhou	粉粘
S6-3	yes	yes	2.5	hangzhou	粉粘
S6-4	yes	yes	3.5	hangzhou	淤泥质粉粘
S6-5	yes	yes	4.5	hangzhou	淤泥质粉粘
S6-6	no	no	5.5	hangzhou	粉粘
