sample_id	水分	pH	全盐量	OC	电导率	F	TN	NO3_N	NH4_N	TP	availP	CEC	Al	As	Cd	Fe	Mn	Ni	Pb	V	TPH (C6-C9)	TPH (C10-C40)
S1-1	11	7.61	0.5	1.52	12.6	862	1.02E+03	2.02	0.54	473	7	11.6	5.91E+04	9.5	0.21	3.14E+04	475	19	37.6	40.6	0.04	942
S1-2	24.9	7.71	0.2	1.12	6	840	1.58E+03	1.29	112	618	20	11.4	6.31E+04	8.1	0.33	2.97E+04	285	18	52.5	42.1	0.04	153
S1-3	22	7.58	0.2	0.124	6.5	743	283	0.73	2.05	274	7.2	7	4.80E+04	11.2	0.02	4.44E+04	443	9	38.7	70	0.04	6
S1-4	25.2	7.69	0.3	0.15	7.5	1.05E+03	795	2.04	3.18	222	4	23.9	8.94E+04	10.3	0.02	3.67E+04	156	20	26.8	52.1	0.04	6
S1-5	18.5	7.82	0.2	0.097	4.7	830	139	0.69	0.88	281	6.3	19.2	6.51E+04	2.7	0.01	2.04E+04	66.8	7	17.9	29.9	0.04	6
S1-6	21.7	8.12	0.2	0.041	5.4	994	313	0.95	0.78	194	1.5	30.6	7.52E+04	13.9	0.05	4.93E+04	409	30	36.3	55	0.04	6
S2-1	26.7	7.27	0.2	1.25	7.2	814	1.60E+03	2.44	25.1	514	14	13.9	6.58E+04	11.7	0.73	3.04E+04	275	16	102	44.5	0.04	239
S2-2	23.4	7.73	0.1	0.127	2.9	934	429	0.62	4.02	335	2	16.6	6.84E+04	4.8	0.04	3.94E+04	728	25	25.5	47.1	0.04	6
S2-3	19.9	7.18	0.4	0.229	9.9	685	391	1.65	3.55	230	7.5	8.2	5.05E+04	12.3	0.02	2.30E+04	276	10	25.9	56.8	0.04	6
S2-4	25	7.22	0.2	0.186	6.4	952	526	1.41	4.22	292	3.6	20.2	7.52E+04	11.7	0.01	3.58E+04	554	17	23.9	59.3	0.04	6
S2-5	20.1	7.56	0.2	0.079	4.2	751	586	0.76	1.52	303	2.6	15.6	6.00E+04	5.8	0.01	3.13E+04	155	14	18.6	32.2	0.04	6
S2-6	21.3	7.66	0.2	0.031	4.4	927	307	0.71	0.82	352	5.3	19.4	5.20E+04	6.6	0.05	2.86E+04	294	20	18.1	34.6	0.04	23
S3-1	5.7	7.46	0.1	0.593	4.8	1.04E+03	859	0.8	0.64	580	3.7	2.3	5.39E+04	8.1	0.14	2.33E+04	156	10	40.8	17.6	0.04	31
S3-2	6.3	5.84	0.2	0.81	5.6	821	550	1.18	10.2	745	8.1	2	5.41E+04	10.2	0.05	3.03E+04	176	18	25.6	18.3	0.04	1.46E+03
S3-3	4.9	6.08		0.501		921	308	7.27	2.89	1.43E+03		2	4.80E+04	5.1	0.03	2.94E+04	176	14	16.4	17.7	15.5	114
S3-4	23.2	9.99	1.2	0.633	36.5	950	1.10E+03	35.4	82.5	502	39.5	12	5.87E+04	4.9	0.09	2.38E+04	197	14	33.8	35.2	0.04	245
S3-5	22.9	8.54	0.2	0.077	4.9	866	256	0.72	1.28	186	0.9	27	7.37E+04	3.5	0.01	3.45E+04	139	8	20.1	44.6	0.04	6
S3-6	18.3	8.5	0.1	0.094	3.8	994	368	0.72	0.74	303	2.1	22.1	6.10E+04	11.9	0.04	4.04E+04	385	23	55.6	45.9	0.04	4.94E+04
S4-1	32.5	7.82	0.4	18.7	11	854	1.89E+03	12.7	6.5	392	5.1	12.2	4.57E+04	7.3	0.24	3.35E+04	381	16	126	32.4	3.58	1.02E+03
S4-2	15.7	7.83	0.4	1.72	10.1	507	1.27E+03	4.38	19.8	462	7.7	15.9	6.69E+04	8.3	0.28	4.16E+04	437	21	64	44.1	0.3	2.57E+03
S4-3	33.1	8.08	0.2	0.274	5.9	661	582	0.81	5.46	413	2.1	21.4	7.03E+04	9.9	0.17	7.79E+03	1.23E+03	28	23.6	48.7	0.04	94
S4-4	33.4	8.15	0.2	0.237	5.8	699	585	0.79	5.3	331	6.9	23	7.26E+04	6.3	0.04	4.42E+04	508	25	24.3	54.9	0.04	61
S4-5	23.1	8.23	0.2	0.119	5.7	658	423	0.62	1.53	169	1.4	23.6	6.97E+04	4.4	0.01	3.33E+04	108	6	14.8	37.1	0.04	22
S4-6	19.1	8.4	0.2	0.039	4.8	723	359	0.74	0.61	260	3.6	24.5	6.23E+04	8.1	0.02	3.48E+04	413	26	15	41.4	0.04	6
S5-1	17.4	7.73	0.4	0.734	9.2	616	277	3.6	1.44	291	3.2	1.4	3.64E+04	3.3	0.13	1.60E+04	149	5	18.1	16.9	416	5.12E+03
S5-2	21.6	7.75	0.2	0.784	5.5	685	838	2.66	108	294	7.2	13.7	6.22E+04	5.7	0.08	2.39E+04	232	15	20.9	35.7	0.38	156
S5-3	27.9	7.83	0.2	0.882	4.3	689	812	0.52	19.8	751	18.2	12.6	4.96E+04	4.8	0.09	3.08E+04	129	14	11.6	24.5	0.37	18
S5-4	26.4	7.85	0.2	0.231	4.7	721	518	0.61	18.1	269	19.5	19.7	7.93E+04	8	0.01	3.54E+04	450	18	21.5	47.1	0.32	6
S5-5	23.8	7.78	0.4	0.206	9.5	808	440	3.04	6.64	302	4.1	18.7	6.81E+04	5.2	0.03	3.90E+04	259	15	20.9	47.1	0.04	98
S5-6	21.9	7.64	0.2	0.053	6.1	637	360	0.48	0.74	126	0.9	31.1	7.83E+04	5.4	0.03	3.57E+04	394	21	10.6	42.7	0.04	6
S6-1	17.7	7.55	0.5	0.363	13	637	445	1.19	0.47	553	13.6	13.4	5.01E+04	6.7	0.27	2.74E+04	370	19	30.1	34.9	0.04	6
S6-2	33	6.95	0.8	1.35	20.4	610	1.76E+03	1.35	166	587	21.4	13.9	5.96E+04	8.5	0.47	2.73E+04	201	16	57.2	38.4	0.04	541
S6-3	26.1	7.73	0.2	0.173	4.2	842	475	0.56	1.91	489	3.7	23.5	7.13E+04	5.8	0.07	3.75E+04	646	27	21.6	45.5	0.04	18
S6-4	24	7.36	0.4	0.256	14.8	634	413	1.13	3.07	475	2.3	11.8	5.42E+04	9.5	0.11	2.47E+04	319	24	15.6	41.3	0.17	6
S6-5	40.4	7.05	1.4	1.99	33	541	1.24E+03	6.13	4.45	287	2.9	17	5.26E+04	12.7	0.08	2.84E+04	344	16	16	51.4	0.04	6
S6-6	20.5	7.78	0.2	0.141	5.8	610	364	0.74	2.65	353	3	10.6	6.18E+04	9.1	0.01	3.36E+04	297	16	23.3	49.9	0.04	26
