points	pH	moisture	salinity	OC	TN	conduc	availN	NO3-N	NH4-N	TP	F	availP	CEC	Pb	Cd	Ni	As	Mn	V	Al	Fe	benzene	toluene	ethylbenzene	m,p-Xylene	o-Xylene	NAP	BaA	CHR	C6_C9	C10_C40
SB1-1	8.50	27.2	0.6	0.195	153	17.1	34.4	4.50	0.30	628	549	4.4	7.5	15.5	0.13	27	12.3	424	33.2	5.95E4	2.93E4	0.43	0.07	1.21	1.08	1.73	3.68	0	0	3.37	1.49E3
SB1-2	8.96	12.8	0.4	0.451	103	10.2	56.8	8.20	0.15	600	453	3.4	4.1	6.3	0.07	19	8.2	283	22.9	4.95E4	2.13E4	1.39	7.75	34.4	66.6	42.6	51.9	0	0	1.35E3	1.95E4
SB1-3	8.60	13.5	0.4	0.430	83.1	10.3	32.2	8.93	0	562	486	3.4	5.4	7.6	0.10	21	8.7	334	26.0	5.54E4	2.53E4	0	6.76	17.7	41.8	24.2	40	0	0	723	6.64E3
SB1-4	8.44	20.5	0.4	0.229	165	12.9	59.2	5.09	0.58	675	584	7.8	11.9	13.0	0.12	29	9.1	465	33.4	5.87E4	2.98E4	0	0	7.38	2.22	0	2.12	0	0	4.09	2.29E3
SB1-5	8.33	21.4	0.7	0.267	328	18.5	70.0	11.4	0.36	628	637	7.2	14.0	13.5	0.11	34	12.0	588	40.7	6.49E4	3.42E4	0	0	1.57	0.89	0	4.62	0	0	2.25	2.78E3
SB6-1	8.94	18.8	0.5	0.452	277	13.9	39	1.76	0.37	730	441	1.87	9.2	55.0	0.13	26	13.2	530	71.9	5.59E4	2.89E4	0	0	0	0	0	0	0	0	0	84
SB6-2	8.66	15.2	0.5	0.389	543	15.0	33	4.76	2.44	783	827	4.74	14.8	25.9	0.26	36	19.6	719	89.2	6.80E4	3.73E4	0	0.07	0.31	0.28	0	5.14	0	0.2	1.33	1.83E3
SB6-3	8.78	13.5	0.3	0.909	292	9.0	33	4.76	0.43	739	358	4.24	6.0	17.2	0.14	24	9.8	480	65.2	5.56E4	2.54E4	1.54	1.01	23.3	52.3	26.9	0	1.1	0	651	1.61E4
SB6-4	9.01	10.5	0.2	0.476	304	6.8	11	2.34	0.27	677	385	2.80	5.0	12.7	0.09	23	13.6	460	61.5	5.04E4	2.38E4	0.65	8.25	12.6	29.0	19.6	76.3	0	0	572	7.89E3
SB6-5	8.71	21.5	0.3	1.99	257	7.6	41	4.39	1.20	656	373	4.18	4.9	13.7	0.15	17	9.3	425	55.9	4.85E4	2.13E4	9.24	54.1	71.8	157	115	0	0	0	2.91E3	1.50E4
SB7-1	8.74	19.1	0.6	0.429	574	17.4	55	4.62	0.42	752	453	3.11	8.9	17.4	0.20	31	11.0	571	72.6	6.43E4	3.21E4	0	0	0	0	0	0	0	0	0.24	74
SB7-2	8.69	20.8	0.4	0.423	501	12.2	49	2.90	2.08	805	630	5.81	15.0	20.5	0.19	40	19.1	740	90.9	6.61E4	3.71E4	0.09	0	1.75	0.76	0.09	6.77	0	0	3.07	2.15E3
SB7-3	8.76	21.1	0.3	0.549	216	8.4	68	3.69	0.76	681	447	4.44	6.1	15.5	0.15	27	10.1	504	65.9	5.54E4	2.55E4	1.11	0	20.1	37.9	17.4	0	0.3	0	670	3.98E3
SB7-4	8.82	6.8	0.2	0.502	297	6.6	24	1.82	0.37	690	434	4.64	4.8	13.6	0.09	23	12.6	433	60.5	5.07E4	2.29E4	0	5.96	8.57	21.5	15.3	79.9	0	0	691	9.57E3
SB7-5	8.92	16.4	0.4	0.664	448	12.2	38	4.46	0.42	694	464	4.20	7.8	17.0	0.10	28	10.4	430	59.5	5.47E4	2.59E4	4.26	12.5	35.8	74.3	57.7	0	0	0	1.18E3	1.84E4
SB8-1	8.73	16.3	0.5	0.274	604	14.6	47	8.46	0.83	748	488	5.45	7.8	15.8	0.12	29	10.3	487	65.4	5.62E4	2.68E4	0	0	0	0	0	0	0	0	0.23	70
SB8-2	8.59	29.0	0.4	0.294	525	11.4	52	3.73	5.86	754	662	5.96	13.6	21.3	0.22	40	14.2	689	84.0	6.64E4	3.80E4	0.08	0	0.88	1.39	0.29	1.49	0	0	1.41	417
SB8-3	9.06	10.8	0.3	0.531	273	7.9	29	2.47	1.02	645	439	4.51	5.5	13.8	0.13	24	9.1	416	56.2	5.12E4	2.39E4	0	1.33	12.5	29.6	21.3	0	0	0	571	1.35E4
SB8-4	8.94	7.2	0.2	0.322	268	6.5	30	1.57	0.60	766	439	3.03	4.6	15.5	0.09	22	11.1	388	55.5	4.82E4	2.26E4	0	1.05	10.2	25.7	18.5	49.8	0	0	507	1.42E4
SB8-5	9.20	13.8	0.2	0.164	322	7.1	30	1.13	0.34	701	399	3.63	5.1	15.5	0.14	24	11.2	417	55.2	4.65E4	2.22E4	0	0	0.09	0.14	0.10	0	0	0	4.23	847
SB9-1	9.42	26.3	0.7	0.142	472	19.7	114	1.12	105	828	529	4.39	9.9	18.8	0.13	34	14.5	596	76.7	5.95E4	3.01E4	0.07	0	0	0	0	0	0	0	0.32	49
SB9-2	8.83	28.6	0.9	0.340	597	25.7	46	8.34	1.57	837	724	6.29	24.3	26.2	0.23	48	8.3	491	37.3	7.61E4	4.43E4	0	0.07	0.27	0.36	0.07	15.3	0	0	6.15	1.48E3
SB9-3	9.15	17.9	0.4	0.069	355	12.2	55	2.16	0.50	686	467	3.64	5.3	16.4	0.05	23	10.3	406	56.6	4.94E4	2.39E4	1.20	0	27.4	7.95	2.04	7.66	0	0	1.16E3	2.71E3
SB9-4	9.12	16.5	0.4	0.044	241	11.4	19	0.363	0.48	726	483	2.73	4.8	16.4	0.09	21	11.0	421	58.4	4.95E4	2.37E4	0	0	0	0	0	0.12	0	0	0	145
SB9-5	8.91	22.7	0.6	0.125	260	16.7	11	1.10	2.02	934	515	3.75	7.9	18.3	0.14	24	12.6	517	66.7	5.72E4	2.80E4	0	0	0	0.08	0	0	0	0	9.95	208
SB10-1	9.22	23.4	0.7	0.248	415	18.9	22	0.786	0.48	585	567	4.64	17.1	25.0	0.12	33	16.5	601	90.1	7.01E4	3.61E4	0.74	0.44	0.12	0.15	0.06	0	0	0	0.13	46
SB10-2	8.80	28.6	0.8	0.307	558	22.1	42	4.38	1.35	761	703	5.41	9.7	28.4	0.23	44	19.9	909	101	7.27E4	4.35E4	0.15	0.07	0.06	0	0	13.6	0	0	8.18	1.80E3
SB10-3	9.11	27.6	0.6	0.124	331	17.7	7	0.884	1.47	736	539	4.21	9.1	19.4	0.14	28	11.5	539	71.7	5.74E4	2.96E4	2.03	0.12	1.09	0.93	0.36	0	0	0	2.19	86
SB10-4	9.09	11.8	0.3	0.036	222	9.8	6	1.44	0.48	886	447	1.90	4.1	10.6	0.09	19	9.3	413	60.1	4.40E4	2.32E4	0	0.05	0.14	0.22	0	0.14	0	0	0.11	172
