Genome	SB1-1	SB1-2	SB1-3	SB1-4	SB10-1	SB10-2	SB10-3	SB10-5	SB11-1	SB11-2	SB11-3	SB11-5	SB12-1	SB12-2	SB12-4	SB14-1	SB14-2	SB15-1	SB15-2	SB16-1	SB16-2	SB16-5	SB2-1	SB21-1	SB21-2	SB3-3	SB4-2	SB4-3	SB6-1	SB6-2	SB6-3	SB6-4	SB6-5	SB7-1	SB7-2	SB7-3	SB7-4	SB7-5	SB8-1	SB8-2	SB8-3	SB8-4	SB8-5	SB9-2
bin.5	0	0.000286865	0	0.000234191	0	0.000685159	0	8.27776E-05	0	0.000420087	0.004905921	0.000198893	0.000104891	0.004173802	0.003081079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000646837	0	0	0	0	0.000195592	0	0	0	0.000515795	0	0	0	0.000116667
bin.128	0	0	0	0	0	0	0	0	0.000165867	0.000692491	0	0	0	3.2557E-05	0	0	0.000795137	0	0	0	0	0	0	0	0	0	0	2.20149E-05	0	0.000120458	0	0	0	0.00043535	0	0	0	0	6.87067E-05	0.0001812	0	0	0	0
bin.144	0.000515314	9.62531E-05	0	9.50036E-05	0.00026612	0	6.86219E-05	0.000139892	0.000333093	0	0	0	0.001067947	0.000208942	0	0.000507065	0.010474027	0.000546985	0.000278757	0.001399962	0.000944777	0.000134393	0.000619988	0.001062681	0.000195979	0	0.000144412	0	0.000351792	0.000325856	3.78351E-05	0	0	0.003262328	0.000151105	0	0	0	0.000936772	0.000158439	0	0	0	0
bin.35	0.000105432	0.000584355	0	0	0	5.83402E-05	0	0	0	0	0	0	0	0	0	0.000202073	0	0	0	0	0	0	0.000265292	0.00038111	0	0	0.000239386	0	0	0.000985797	0	0	0	0	0.001218612	0	0	0	0	0	0	0	0	0
bin.20	0	0	0	0	0	0	0	0	0.000859286	0	0	0	0.000937898	0.000103759	0	0.000125813	0	0.001208594	0	0.000399276	0.000260991	0	0.00015	0.00010116	0	0	0	0	0.000158214	0	0	0	0	0	0	0	0	0	0.000102596	0	0	0	0	0
bin.77	0	0.002267676	0.001171219	0	0	0.000162246	0	0	0.000347633	0.000265747	0	0	0	0.000628619	3.11597E-05	0	0	0	0	0	0	0	0	0	0	0.00411951	0.000217195	0.000742987	0	3.14728E-05	0.003215302	0	0	4.18021E-05	0.002455619	0.002310448	7.85766E-05	0	0	0.001438168	0.015004629	3.55108E-05	0	6.68966E-05
bin.74	0.005160968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96675E-05	0	0	0	0	0	0.001143428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.153	0	0.001604442	0.001239883	0.000860736	0	0.00149916	0	0.000876455	0.001028789	0.001026904	0.001383524	0.000672468	0	0.001237041	0.000642627	0	0	0	0	0	0	0	0	0	0.000518043	0.010813866	0.001089334	0.005713435	0	0.000756614	0.001226649	0.001121918	0.000677616	0.000760324	0.002817155	0.001383884	0.001304765	0.001020088	0	0.001614801	0.001568579	0.001275788	0.009156464	0.000583723
bin.63	0	0	0.000149263	0	0	0.000449038	0	0	0	0.001833723	0.000378249	0.000171864	0	0.004591695	0	0	0	0	0	0	0	0	0	0	0	0	2.42682E-05	0	0	0	0.000266559	0	0	0	0	0	0	0	0	0	0	0	0	8.81893E-05
bin.89	0	0	0	0.0060706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000847245	0	0	0	0.00255581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.55	0	0	0	0	0	0.000426409	0	0	0	0.002515275	0	0	0	0.000417568	0	0	0	0	0	0	0	0	0	0	0.00049993	0	5.48093E-05	0.000357453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001636241
bin.120	0	0.000282307	0	0	0	0	0	0	0	0.000155485	0	0.000808461	0	0.000185283	0	0	0	0	0	0	0	0	0	0	0	5.62341E-05	4.68355E-05	0.002416596	0	0	0.000100074	0	0	0	0.00156191	0.000558373	0	0	0	0.006495547	0	0	0	0
bin.116	0	0.002201697	0.001758719	0.000422969	0	0	0	0.000320443	0	0	0	0	0	0.000708674	0	0	0.002727691	0	0	0	0	0	0	0	0	0	0	0	0	0.001402646	0.007870763	0	0	6.91875E-05	0.005055049	0.012269535	0.000532061	0	0	0.033838303	0.01466032	0.000954046	0.002204206	0
bin.43	0	0	0	0	0	0	0	0.001189777	0	0	0	0.000633052	0	0	2.80675E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.17	0	0.000113066	0	0	0	2.4514E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181346	0	0	0	0	0.000881069	9.9365E-05	0.000325391	0	2.40783E-05	0.000274653	6.0625E-05	4.52009E-05	0	0	1.98867E-05	0.001333183	0.000905819	3.45996E-05
bin.105	0	0.001312577	5.40803E-05	0	0	0.000129635	9.63254E-05	0	0	1.48302E-05	0	0	0	0.000504622	0	0	0	0	0	0	0	0	0	0	0.000302869	0.000163105	0	1.93423E-05	0	0.000547986	0.00035731	0	0	0	0.000230844	0.000134221	0	0	0	0.001086646	0	0	0	6.16867E-05
bin.12	0	0	0	0	0	0	0.00037491	5.50333E-05	0	0	0	0.000101459	0	0	0	0	0	0	0	0	0	0.005503397	0	0	0	0	0	0	0	0	0	0	0.003411849	0	0	0	0	0.001217543	0	0	0	0	0	0
bin.125	0	0	0	0	0	0.000691529	8.62798E-05	0.008451347	0	0	7.17467E-05	0.001437477	0	0.002556366	0	0	0	0	0	0	0	0	0	0	0	0	0.000708894	0.000138053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001413818
bin.97	0	0.000707685	0.000455002	5.19661E-05	0	0.001044802	0.000151748	5.38739E-05	0.000662057	0.00020815	0.001265165	7.25634E-05	0	0.00035045	0	0	0	0	0	0	0	0	0	0	0.001465324	0.000754875	0.001506263	0.000122676	0	0.000162129	0.001836807	0	0.004042013	0	0.000263241	0.000393591	0	0.003351061	0	0.000728664	0.000251222	0	0.000291819	0.000235372
bin.27	0	0	0	0	0	0	0	0.000569596	0	0	0	0.000686883	0	0	0	0	0	0	0	0	0	0.000438301	6.86704E-05	0	0	0	3.89633E-05	0	0	3.34021E-05	0	0	0.001187103	0	4.23086E-05	0	0	0.000972159	0	0	0	0	0	0
bin.146	0	0.001248336	0	4.90534E-05	0	8.71099E-05	5.10868E-05	0.00433166	0	0	0	0.011948887	0	6.13646E-05	0	0	2.46075E-05	0	0	0	0	0.000274374	0	0	0	8.50056E-05	0.000570557	5.21282E-05	9.28425E-05	0.000120095	3.72197E-05	0	0.001019602	0	0.001673594	8.66844E-05	0	0.000222273	0	0.001159265	0	0	2.33032E-05	9.07551E-05
bin.44	0	0	0	0	0	0.000144609	0	2.27504E-05	0	0.000322603	0	0.000274574	0	0.000533023	3.12544E-05	0	0	0	0	0	0	0	0	0	3.27774E-05	0	0.000671652	0.002393316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44503E-05
bin.67	0	0.002480035	0.000420482	0	0	0.000868041	6.82283E-05	0.001910762	0	6.81484E-05	0.003100347	0.000774584	0	0.002620666	0.000231516	0	0	0	0	0	0	0	0	0	0	0.000797014	0.000933941	0.002528037	0	0.00090204	0.001064249	0	0.004630369	0	0.000595758	0.000373586	0.000314759	0.006589418	0	0.003525564	0.000623926	0.000355859	0.000357511	0.00115258
bin.87	0	0	0	0	0	0	0.000705853	0.002390884	0	0	0	0.00294192	0	0	0	0	0	0	0	0	0	0.000877658	0	0	0	0	0	0	0	0	0	0	0.000424065	0	0	0	0	0.000310629	0	0	0	0	0	0
bin.133	0	0	0	0	0.000609278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000639272	0	0	0	0.001534437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.21	0	0	0	0	0	0	0	0.001288229	0	0	0	0.001186309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128892	0	0.000405651	0	0	0	0
bin.129	6.2606E-05	4.79989E-05	2.09265E-05	0	0	0	0	0	0.00012966	0	0	0	0.000791917	0.000134381	0	0	0.000440931	0	0	0.000191234	0	0	0.000107158	0	0	0	0	0	0	0	3.94497E-05	0	0	0.003745008	2.91227E-05	2.64439E-05	0	0	0.000991848	5.95657E-05	0	0	0	0
bin.60	0	0.000155414	0.00085014	0.002904104	0	9.57613E-05	0	0	0	0.000197993	0.000107646	0	0	7.70075E-05	0.000225613	0	0	0	0	0	0	0	0	0	0.000243274	0.000684433	0	0.000184195	0	0	0.000454721	0.000940443	0.000516348	0	0.000225977	0.001370753	0.000879302	0.000423033	0	0.000181557	0.001411076	0.000786333	0.000447501	0.000184307
bin.69	0	0.000103092	0	0	0	0.000162176	0	0	0.000658002	2.28576E-05	0	0	0	0.000286776	0	0	7.19004E-05	0	0	0	0	0	0	0	0.002330737	0	0.00053441	0	0	0.000192951	0	0	0	0	0.000127305	0	0	0	0	0.000136636	0	0	0	9.57081E-05
bin.4	0	0	0	0	0	8.42895E-05	0	0	5.44188E-05	0.000637037	0	0	0	0.001205529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128965
bin.57	0	0	0	0	0	0.01769709	0	0	0.000437659	0.000610371	0	0	5.10815E-05	0.000863045	0	0	0.000101911	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13572E-05	0	0	8.95102E-05	0	6.96139E-05	0	0	0	0.001295479	0	0	0	0.011498436
bin.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41294E-05	0	0	0	5.22134E-05	0.000322013	0	0	0	0.014368665	0.013019242	0	0	0
bin.110	0	0.00110316	0	0	0	0.000518358	6.41779E-05	0	6.75519E-05	0.000148323	0	0	0	4.74609E-05	0	0	0	0	0	0	0	0	0	0	0.000662596	0	3.49292E-05	0	0	0.000559247	0.000266632	0	7.7748E-05	0	0.000858676	0.000484855	0	3.72562E-05	0	0.000142055	8.34369E-05	0	0	0.000287207
bin.18	0	0.000392723	0.002665975	0.003249072	0	0.000933797	0	0.000152664	5.824E-05	0.000695889	0.002721857	0.000343855	0	0.000474169	0.001092289	0	0	0	0	0	0	0	0	0	0.000247066	0.006643442	0.000382115	0.000488679	0	0.000237145	0.004662595	0.012178626	0.001036589	0	0.000515622	0.002844425	0.020755565	0.002025262	0	0.000229834	0.000769238	0.016404781	0.02212142	0.001625418
bin.111	0	0	0	0	0	0	0	0.002613865	0	0	0	0.004725491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.79	0	0.000110081	0	0	0	0.000617369	0.000173199	0.000203177	0	0.000158956	0	0.00024037	0	0.000626285	0	0	0	0	0	0	0	0.000260608	0	0	0	0	9.89696E-05	0.000118475	0	0	0.000200884	0	0.000331315	0	0.000251701	0	0	0.000201811	0	8.12203E-05	0	0	0	0.001259419
bin.56	0	0.001495368	0.000170215	0	0	0.003445993	0.002247033	8.74727E-05	0.000391671	0	0	0.000158225	0	0.000935201	0	0	0	0	0	0	0	0.000199884	0	0	0.000110576	0	0.005954853	0.002425196	0	0	0.001574317	0	0.000283617	0	0.000708028	0.002951932	0	0.000333832	0	0	0	0	0	0.000879602
bin.40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006380981	0	0.002908916	0	0	0	4.01787E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.85	0	0.001640757	0.000123444	0	0	0.000106672	0	0.000700168	0	0.000634074	0.000261564	0.000776199	0	0.000492865	0.000599751	0	8.98381E-05	0	0	0	0	0	0	0	0	0	0	4.46514E-05	0	0.000407383	0.00013907	0	0	0	0	0	0	0	0	0	0	0	0	0.000266378
bin.6	0	0	0	0	0	0	0	0	0.000208316	0	0	0	0.002465965	0.000414782	0	0.000365577	0.018038559	0.000582403	0.00038827	0.001741555	0.000135208	0	0.00017705	0.000205534	0	0	0	0	0.000231426	0	0	0	0	0.000199611	0	0	0	0	0	0	0	0	0	0
bin.84	0	0	0	0	0	0	0	0.000534011	0	0	0	0.000749296	0	0	0	0	0	0	0	0	0	7.44448E-05	0	0	0	0	0.000167448	0	0	0	0	0	0.007545796	0	0	0	0	0.005940195	0	0	0	0	0	0
bin.121	0	0	0	0	0	0	0	0	0	0	0	0	0.000193516	2.58775E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664226	0	0	0	0	0.002375772	0	0	0	0	0
bin.88	0	0.000885175	0	0	0	0	5.97141E-05	6.05203E-05	0	6.6158E-05	0	0.000138738	0	0.012179857	0	0	0	0	0	0	0	0	0	0	9.23598E-05	0	0.006390358	0.015290015	0	0.000883139	0	0	0	0	0.000366925	0	0	0	0	0.002313858	0	0	0	0
bin.62	5.646E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001473807	0	7.53545E-05	0.001845297	0	7.23013E-05	0	0	0	0	0	0.00015552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.72	0	0.000573726	0	0	0	0	0.000115973	0.009210304	0	0	0	0.005814849	0	0	0	0.000195577	0	0	0	0	0	0.001569852	0	0	0	0	0	0	0	0	0	0	0.001748311	0	0.00031489	3.88161E-05	0	0.000930853	0	0.000347101	0	0	3.06352E-05	0
bin.58	0	0	0	0	0	0	0	0	0	0	0.001349764	0.001048931	0	2.40553E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.139	0	4.61669E-05	0	0	0	0.000143891	7.78475E-05	0.000165587	0.000176972	2.58307E-05	0	0.000163578	0	4.31954E-05	0	0	0	0	0	0	0	0.001802985	0.00021527	0	6.97923E-05	0	0.000234732	0	0	0	0	0	0.001604288	0	7.44923E-05	0	0	0	0	0.000115489	0	0	0	0.000237634
bin.33	0	0.010677929	0.003294307	0.036080785	0	0.007025611	0.000143361	0.009236926	0.000462442	0.002356219	0.016122789	0.008100885	0	0.011379696	0.019706838	0	0	0	0	0	0	3.79185E-05	0	0	0.000319516	0.022495852	0.004311171	0.02263431	0	0.001671139	0.011520361	0.03238685	0.0135357	0	0.034948714	0.006566066	0.019455893	0.020482988	0	0.00251219	0.001344042	0.015104885	0.023188505	0.00468564
bin.70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002751196	0.000871777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
