MAG_ID	S1-1	S1-2	S1-3	S2-1	S2-2	S2-3	S3-1	S3-2	S3-3	S3-4	S3-5	S4-1	S4-2	S4-3	S5-1	S5-2	S5-3	S5-5	S6-2	S6-3	S6-4	S6-5
bin.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003597699	0	0	0	0	0	0	0
bin.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002277131	0	0	0	0	0	0	0
bin.101	0	0.001074252	0	0.00385434	0	0	0	0	0.000763961	0.000468781	0	0.000313836	0.000121972	0	0	0.002183676	0	0	0	0	0	9.96744E-05
bin.102	0	0	0	0	0	0	0	0	0	0	0.027259924	0	0	0	0	0	0	0	0	0	0	0
bin.103	0	0	0.001488006	0	0	0.001647103	0	0	0	0	0.000463415	0	0	0.000463985	0	0	0	0.000636573	0	0	0.000305427	0
bin.104	0	0	0.001116511	0	0	0.00103917	0	0	0	0	0	0	0	0.000499567	0	9.86234E-05	0	0.000152268	0	0	0.000380247	0.000129852
bin.105	0	0	0	0	0	0	0	0	0	0	0.012199186	0	0	0	0	0	0	0	0	0	0	0
bin.106	0	0	0	0	0	0	0.000493872	0	0	0	0.002178433	0	0	0	0	0	0	0	0	0	0	0
bin.107	0	0	0	0	0	0	0	0.000448053	0.000206195	0.000368653	0	0	0	0	0.001638076	0	0	0	0	0	0.000432435	0
bin.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01117675
bin.109	0	0	0	8.12407E-05	0	0	0	0.000140038	0	0.00080503	0.05115925	7.8031E-05	0	0	0.000535944	0.000104727	0	0	0.000305084	0	0	0
bin.11	0	0	0	0	0	0	0	0	0	0	0	0.001633187	0.000961844	4.61844E-05	0.000992743	0	0	0	0	0	0	0
bin.110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001445647	0.000991397	0	0	0.000530452	0	0	0
bin.111	0	0.000215159	0	0.00023666	0	0	0.000119261	0.000198513	0	0	0	0.000407836	6.91614E-05	8.32818E-05	0.000782545	0.000206123	7.3329E-05	9.03094E-05	0.00098798	0	5.71205E-05	0
bin.112	0	0	0	0	0	0	0	0	0	0	0.001458397	0	0	0	0	0	0	0	0	0	0	0
bin.113	0	0	0	0	0.001377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004843779	5.29559E-05	0
bin.114	0	0	0	0	0.002230635	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011551	0.004773167	9.66856E-05	0
bin.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002944517	0	0	0	0	0	0	0
bin.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000418789	0.006101416	0	0	0	0	0
bin.117	0	0	0.00214021	0	0.000474529	0.001548777	0	0	0	0	0	0	0	0.001041498	0	0.000106683	0.00035529	0.028080168	0	0.000309444	0.000827778	0.000652731
bin.118	0	0	0.001479778	0	0	0.000437105	0	0	0	0	0	0	0	0.000214962	0	0.000197924	0.000198497	0.003046658	0	0	0.000774146	0.002187564
bin.12	0	0	0	0	0.00010891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003253641	0	0
bin.120	0.000523029	0	0.000346811	0	0	0	0.000517858	0.000195197	0.000180788	0.000184138	0	0.000236788	8.9924E-05	5.85756E-05	0	0	0	0	0.007162114	0	0.000135534	0
bin.121	0	0.000497486	0	0.0002575	0.00038252	0	0.000351442	0.000441634	0.000289678	0.0077656	0	0.000392556	0.000138268	0.000138416	0	0.008234794	0	0	0.000605957	0	0	0
bin.122	0	0	0	0	0	0	0	0	0	0	0.008163672	0	0	0	0	0	0	0	0	0	0	0
bin.123	0	0.002162069	0	0.00205189	0	0	0	0	0.000157471	0	0	0.002255018	0.000359817	0.000116184	0	0.000333638	0.000120512	0	0	0	6.59991E-05	0
bin.124	0	0	0	0	0	0	0	0.001369122	0.000239758	0.003128927	0	0	0	0	0.000319323	0	0	0	6.32239E-05	0	0.000374096	0
bin.125	0	0	0	0	0	0	0	0	0	0.000127155	0.006954212	0	0	0	0	0	0	0	0	0	0	0
bin.126	0	0	0	0	0	0	6.17024E-05	0.001745216	0.001182692	0.00180084	0.000510636	0.000161755	0.022051523	0.000515707	0.000260189	0	4.40769E-05	0	0	0	0.003975519	0
bin.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014645846	0	0.000193169	0
bin.128	0	0	0	0.000257668	0.009600982	0	0	0	0	0.002207362	0	0.000327747	0.000171239	0.000710577	0	0.00073628	0.002182133	0	9.29253E-05	0.002901088	0.000518331	0
bin.129	0	0	0.000276437	0	0.00017417	0.000248455	0	0	0	0	0	0	0	0.000795738	0	0	0	0.001222097	0	0	0.000653958	0
bin.13	0	0	0	0	0.00255869	0	0	0	0	0	0	0	0	0.000123192	0	0.000254093	0.000189979	0	0	0.002602564	7.82535E-05	0
bin.130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004282285	0	0	0	0	0	0	0
bin.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000330001	0	0.000785179	0.003387847	0	0	0	0	0
bin.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76394E-05	0.000953952	0.010497286	0	0	0.000188798	0	0
bin.133	0	0.000555064	0	0.000392493	0	0	0	0.000740228	0.001072984	0.000239743	0	0.00106024	0.000277913	8.65868E-05	0	0	0	0	7.08576E-05	0	0	0
bin.134	0	0	0	0	0.000774117	0	0	0	0	0	0	0	0	0.000737413	0	0.000161741	0.001500858	0	0	0.001466236	0.001019591	0
bin.135	0	0	0	0	0	0	0	0	0	0	0	0.000691083	6.82561E-05	0	0.001684587	0	0	0	0	0	0	0
bin.136	0	0.000472571	0	0.000586814	0	0	0	0.00057943	0.000848205	0.0001808	0	0.000818235	0.000235945	0	0	0	0	0	0	0	0	0
bin.137	0	0.00022863	0.000171253	0.000174558	0.02607425	7.98944E-05	0	0.000198942	0.000188355	0.000373559	0	0	0	0.001203401	0	0.000437521	0.001303777	0	0.000155411	0.010635878	0.000726167	0
bin.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003988523	0	0	0
bin.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001655501	0	0	0	0.004039047	0	0	0	0.001172812
bin.14	0	0	0	0	0	0	0.004757116	0.00013793	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.140	0	0.000103319	0	9.69963E-05	0	0	0	0.000164092	0.000218317	0.000110562	0	0.000178022	0.00415191	5.16957E-05	0	8.84646E-05	0	0	0	0	0	0
bin.141	0	0.001479719	0	0.00112044	0	0	0	0.000758591	0.00354758	0.00129099	0	0.000633989	9.09615E-05	0	0	0	0	0	0	0	0.000134321	0
bin.142	0	0	0	0	0	0	0	0	0	0	0.001471089	0	0	0	0	0	0	0	0	0	0	0
bin.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002076842	0	0	0	0	0	0	0
bin.144	0	0.000562376	0	0.000494476	0.000105622	0	0	0.000313766	0.000238664	0.00078288	0	0.001255367	0.000565692	0.000130213	0	0.006886101	0	0	0.000139535	0	0.000191567	0
bin.145	0	0	0	0	0.006244826	0.00014822	0	0	0	0.00029055	0	0	0	0.000255444	0	0	0	0	0	0.006648399	0.000357111	0
bin.146	0	0	0	0	0	0	0	0	0	0	0	0.000180021	0.004598806	0.000120567	0	0	0	0	0	0	0	0
bin.147	0	0	0	0	0	0	0	0.000212257	0.000147432	0	0	0.000320523	5.7157E-05	0	0.005734833	0	0	0	0	0	6.03E-05	0
bin.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012568707	0	0	0	0	0	0	0
bin.149	0	0.001387039	0	0.000424954	0	0	0	0.000252552	0.002358034	0.001064077	0	0.000783927	0.00010904	0	0	0	0	0	0	0	4.94624E-05	0
bin.15	0	0	0	0	0	0	0	0	0	0	0.027358541	0	0	0	0	0	0	0	0	0	0	0
bin.150	0	0	0.001945618	0	0	0.001442125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69209E-05	0
bin.151	0	0.000264571	0	0.000257222	0	0	0.00013782	0.000164785	0.000354546	0.000197199	0	0.000630562	0.002352679	0.000158948	0.000816175	0	9.77611E-05	0	0.000292993	0	8.68791E-05	0
bin.152	0.002575135	0.000250019	0	0.000141158	0.000418952	0	0.001639938	0.00066669	0.000404325	0.01326009	0	9.95196E-05	6.15538E-05	6.44193E-05	0	0.001601576	0.000149554	0	0	0.00043835	8.9006E-05	0
bin.153	0	0	0	0	0	0	0	0.000126102	0.000495871	0.000155225	0.001751704	0	0	0	0	0	0	0	0.008876622	0	0	0
bin.154	0	0.001352117	0	0.001189138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.155	0.019273759	0	0	0	0	0	0.002584649	8.12774E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bin.156	0	0	0.004631018	0	0	0.001351546	0	0	0	0	0	0	0	0.00241211	0	8.04354E-05	0	0.001938179	0	0	0.000563341	0.001827766
bin.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004737753	0	0	0
bin.158	0	0	0.000396812	0	0.004791662	0.00020185	0	0	0	0	0	0	0	0.000138315	0	0	0	0.000211975	0	0.00355583	0.000832096	0
bin.159	0	0	0	0	0.005213851	0	0	0	0	0	0	0	0	0	0	0.000125628	0.000111562	0	0	0.001629982	0	0
bin.16	0	0	0.000500677	0	0	0.000481721	0	0	0	0	0	0	0	0.000252687	0	0	0	0.004345408	0	0	0.000453998	0.000737092
