MAG_ID	Completeness	Contamination	Kingdom	Phylum	Class	Order	Family	Genus	Species
bin.1	97.03	0	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi_B
bin.10	89.91	2.75	Bacteria	Chloroflexota	Anaerolineae	DTPP01	DTLA01	DTLA01	
bin.101	74.45	0.93	Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	HEL-GB-A	HEL-GB-A	
bin.102	81.32	3.45	Bacteria	Patescibacteria	Paceibacteria	UBA9983	Tagabacteraceae		
bin.103	92.92	4.93	Archaea	Halobacteriota	Methanocellia	Methanocellales			
bin.104	84.4	2.02	Bacteria	Chloroflexota	Anaerolineae				
bin.105	99.17	1.66	Bacteria	Firmicutes_B	Desulfitobacteriia	Desulfitobacteriales			
bin.106	79.53	0.81	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium zavarzinii
bin.107	91.07	0	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	UBA4770	UBA4770 sp002403335
bin.108	76.44	1.45	Bacteria	Acidobacteriota	B3-B38	B3-B38	B3-B38	B3-B38	
bin.109	95.1	2.85	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	
bin.11	79.09	3.64	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6107	
bin.110	70.56	3.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	JACIVX01		
bin.111	73.36	5	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	
bin.112	83.81	4.49	Bacteria	Firmicutes_B	Thermincolia	Thermincolales	UBA2595	GW-Firmicutes-8	
bin.113	75.52	2.78	Bacteria	Acidobacteriota	Vicinamibacteria	Bin61			
bin.114	91.76	4.2	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_C	
bin.115	82.87	1.84	Bacteria	Firmicutes	Alicyclobacillia	Kyrpidiales	Kyrpidiaceae	Kyrpidia	Kyrpidia tusciae
bin.116	89.5	4.87	Bacteria	Chloroflexota	Anaerolineae	UBA4142	UBA4142		
bin.117	74.75	3.56	Bacteria	Chloroflexota	Dehalococcoidia	SM23-28-2	SM23-28-2	SM23-28-2	
bin.118	74.59	3.44	Bacteria	Desulfobacterota	SM23-61	SM23-61	SM23-61		
