source_otu,target_otu,synergy,expected_stage_distance,source_stageI,source_stageII,source_stageIII,target_stageI,target_stageII,target_stageIII,Stage I->Stage I,Stage I->Stage II,Stage I->Stage III,Stage II->Stage I,Stage II->Stage II,Stage II->Stage III,Stage III->Stage I,Stage III->Stage II,Stage III->Stage III
bin.151,bin.216,0.2736654114953472,0.3763321843078966,0.0,0.8859934853420195,0.11400651465798045,0.0,0.6601941747572815,0.3398058252427184,0.0,0.0,0.0,0.0,0.16007449008626995,0.08239128166205069,0.0,0.020597820415512672,0.010601819331513876
bin.239,bin.111,0.2308832925988666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2308832925988666,0.0,0.0,0.0,0.0
bin.214,bin.151,0.1279002427836075,0.42348146766347633,0.0,0.5991189427312775,0.4008810572687225,0.0,0.8859934853420195,0.11400651465798045,0.0,0.0,0.0,0.0,0.06789142879150525,0.008736029440083396,0.0,0.04542735308843366,0.005845431463585214
bin.216,bin.239,0.1025789270153325,0.33980582524271846,0.0,0.6601941747572815,0.3398058252427184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06772201006837486,0.0,0.0,0.034856916946957646,0.0
bin.189,bin.140,0.0742154164409816,0.6616915422885572,0.0,1.0,0.0,0.0,0.3383084577114428,0.6616915422885572,0.0,0.0,0.0,0.0,0.025107703074560943,0.04910771336642066,0.0,0.0,0.0
bin.24,bin.140,0.0271837682403291,0.506171432911777,0.0,0.5190839694656488,0.48091603053435117,0.0,0.3383084577114428,0.6616915422885572,0.0,0.0,0.0,0.0,0.004773755054623135,0.009336903268601131,0.0,0.004422743653547905,0.008650366263556931
bin.239,bin.181,0.0124144292481473,0.8125,0.0,1.0,0.0,0.625,0.1875,0.1875,0.0,0.0,0.0,0.007759018280092063,0.002327705484027619,0.002327705484027619,0.0,0.0,0.0
bin.151,bin.111,0.0119998405570462,0.11400651465798045,0.0,0.8859934853420195,0.11400651465798045,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010631780558685884,0.0,0.0,0.0013680599983603159,0.0
bin.216,bin.111,0.0100430047819887,0.33980582524271846,0.0,0.6601941747572815,0.3398058252427184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006630333254128463,0.0,0.0,0.003412671527860238,0.0
bin.214,bin.216,0.0095812260938497,0.4682434455326974,0.0,0.5991189427312775,0.4008810572687225,0.0,0.6601941747572815,0.3398058252427184,0.0,0.0,0.0,0.0,0.0037897086914983114,0.0019505853559182486,0.0,0.002535760962693723,0.0013051710837394164
