source_otu,target_otu,synergy,expected_stage_distance,source_stageI,source_stageII,source_stageIII,target_stageI,target_stageII,target_stageIII,Stage I->Stage I,Stage I->Stage II,Stage I->Stage III,Stage II->Stage I,Stage II->Stage II,Stage II->Stage III,Stage III->Stage I,Stage III->Stage II,Stage III->Stage III
bin.104,bin.138,0.4378383212786277,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4378383212786277,0.0,0.0,0.0,0.0
bin.60,bin.138,0.3462658562931788,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3462658562931788,0.0,0.0,0.0,0.0
bin.155,bin.33,0.328667010377359,0.36363636363636365,0.0,0.6363636363636364,0.36363636363636365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20915173387650118,0.0,0.0,0.11951527650085783,0.0
bin.33,bin.93,0.2791770336247985,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2791770336247985,0.0,0.0,0.0,0.0
bin.155,bin.138,0.2268949586293767,0.36363636363636365,0.0,0.6363636363636364,0.36363636363636365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14438770094596698,0.0,0.0,0.0825072576834097,0.0
bin.104,bin.33,0.2101749733562261,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2101749733562261,0.0,0.0,0.0,0.0
bin.18,bin.138,0.1990857128760858,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1990857128760858,0.0,0.0,0.0,0.0
bin.60,bin.155,0.1806671758734612,0.36363636363636365,0.0,1.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.11497002101038441,0.0656971548630768,0.0,0.0,0.0
bin.104,bin.153,0.1582689718571787,0.4693877551020408,0.0,1.0,0.0,0.14285714285714285,0.5306122448979592,0.32653061224489793,0.0,0.0,0.0,0.022609853122454098,0.08397945445482952,0.05167966427989508,0.0,0.0,0.0
bin.60,bin.153,0.1501924866923762,0.4693877551020408,0.0,1.0,0.0,0.14285714285714285,0.5306122448979592,0.32653061224489793,0.0,0.0,0.0,0.021456069527482313,0.0796939725306486,0.049042444634245286,0.0,0.0,0.0
