KO	bin.58	bin.210	bin.81	bin.22	bin.137	bin.216	bin.155	bin.234	bin.173	bin.101	bin.87	bin.28	bin.252	bin.51	bin.179	bin.107	bin.125	bin.204	bin.143	bin.57	bin.75	bin.93	bin.21	bin.149	bin.228	bin.172	bin.113	bin.99	bin.27	bin.251	bin.190	bin.45	bin.63	bin.178	bin.196	bin.3	bin.142	bin.69	bin.221	bin.160	bin.15	bin.9	bin.92	bin.33	bin.148	bin.227	bin.166	bin.245	bin.184	bin.112	bin.98	bin.39	bin.130	bin.62	bin.118	bin.80	bin.136	bin.215	bin.154	bin.68	bin.233	bin.86	bin.32	bin.50	bin.239	bin.106	bin.183	bin.124	bin.38	bin.203	bin.56	bin.74	bin.189	bin.20	bin.209	bin.153	bin.232	bin.171	bin.26	bin.250	bin.44	bin.159	bin.238	bin.177	bin.256	bin.195	bin.123	bin.2	bin.202	bin.141	bin.220	bin.73	bin.14	bin.129	bin.91	bin.8	bin.147	bin.226	bin.165	bin.79	bin.244	bin.111	bin.43	bin.61	bin.117	bin.194	bin.135	bin.49	bin.214	bin.67	bin.85	bin.13	bin.7	bin.31	bin.164	bin.105	bin.243	bin.19	bin.182	bin.37	bin.55	bin.249	bin.188	bin.134	bin.213	bin.152	bin.231	bin.170	bin.84	bin.25	bin.219	bin.158	bin.237	bin.176	bin.104	bin.255	bin.122	bin.201	bin.1	bin.140	bin.54	bin.72	bin.128	bin.90	bin.207	bin.146	bin.225	bin.78	bin.110	bin.96	bin.24	bin.42	bin.60	bin.175	bin.116	bin.254	bin.193	bin.48	bin.66	bin.199	bin.12	bin.6	bin.30	bin.145	bin.224	bin.163	bin.242	bin.18	bin.181	bin.95	bin.36	bin.169	bin.248	bin.187	bin.115	bin.133	bin.212	bin.151	bin.65	bin.230	bin.83	bin.139	bin.218	bin.157	bin.236	bin.103	bin.89	bin.180	bin.121	bin.35	bin.200	bin.53	bin.109	bin.71	bin.186	bin.127	bin.206	bin.59	bin.150	bin.77	bin.23	bin.41	bin.156	bin.235	bin.174	bin.29	bin.192	bin.120	bin.47	bin.70	bin.198	bin.11	bin.126	bin.5	bin.205	bin.144	bin.223	bin.162	bin.76	bin.241	bin.17	bin.94	bin.40	bin.229	bin.168	bin.247	bin.114	bin.191	bin.132	bin.46	bin.211	bin.64	bin.82	bin.197	bin.138	bin.10	bin.4	bin.217	bin.161	bin.102	bin.88	bin.240	bin.16	bin.34	bin.52	bin.167	bin.108	bin.246	bin.185	bin.131
K17641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03242	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
K03243	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
K21161	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21162	1	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21163	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21164	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07130	1	0	1	1	1	1	3	0	2	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	2	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	3	1	3	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	3	0	0	0	0	0	3	0	0	1	2	1	3	0	0	2	0	0	3	2	0	2	3	0	0	1	3	0	0	0	0	1	3	0	0	1	0	0	3	0	1	1	1	0	0	3	1	1	0	2	0	0	0	2	0	1	2	0	0	0	0	0	1	1	1	0	1	0	5	1	1	0	0	1	0	0	0	0	3	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	2	0	1	1	1	0	0	1	2	0	1	1	0	3	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	1	0	0	1	0	0	0	0	3	0	0	0	4	2	0	1	1	0	3	0	0	0	3	0	0	1	0	0	0	0	1	2	0	0	0	4	0
K07131	0	0	0	0	2	0	0	0	1	11	0	0	0	0	0	1	0	1	1	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	5	0	0	0	1	0	0	2	2	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	2	1	0	1	0	8	0	0	0	0	0	0	2	0	1	0	1	2	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	2	2	1	2	4	0	0	1	0	0	0	0	0	0	4	0	1	0	0	4	3	0	2	0	0	0	0	0	0	2	1	2	0	0	0	0	1	0	2	2	0	0	0	0	0	4	0	0	2	0	0	1	0	0	1	0	4	0	0	0	5	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	10	2	1	0	0	0	2	0	0	0	1	0	4	1	2	1	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1	0	5	0	2	0	0	1	1	0	0	1	2	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	4	6	0	0	0	0	0	1
K07133	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	5	0	0	0	0	0	7	0	0	0	4	0	1	4	0	0	2	9	0	0	6	0	0	2	1	0	0	0	0	1	5	1	4	2	0	0	0	4	5	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	7	0	0	1	0	0	1	1	2	0	0	0	1	0	1	17	3	4	0	0	0	3	0	0	1	0	1	5	1	0	0	0	1	1	0	4	0	7	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	2	5	3	5	0	0	0	0	1	8	0	1	0	1	5	1	0	0	0	1	3	0	0	0	0	9	0	0	1	0	0	0	0	0	11	0	0	1	8	2	1	3	0	0	0	0	2	3	7	0	0	1	0	1	0	5	0	0	0	1	0	0	1	0	2	0	0	0	3	0	0	0	0	0
