KO	bin.58	bin.2	bin.83	bin.45	bin.70	bin.48	bin.32	bin.127	bin.152	bin.114	bin.117	bin.101	bin.90	bin.68	bin.93	bin.55	bin.80	bin.17	bin.42	bin.137	bin.7	bin.124	bin.111	bin.75	bin.78	bin.62	bin.65	bin.27	bin.144	bin.147	bin.14	bin.131	bin.109	bin.134	bin.1	bin.98	bin.4	bin.121	bin.85	bin.47	bin.88	bin.72	bin.34	bin.37	bin.21	bin.116	bin.24	bin.141	bin.103	bin.119	bin.11	bin.92	bin.106	bin.95	bin.57	bin.82	bin.44	bin.139	bin.31	bin.9	bin.126	bin.151	bin.113	bin.129	bin.100	bin.67	bin.51	bin.29	bin.54	bin.16	bin.149	bin.133	bin.41	bin.19	bin.136	bin.120	bin.6	bin.123	bin.87	bin.110	bin.74	bin.77	bin.61	bin.39	bin.23	bin.64	bin.26	bin.143	bin.10	bin.146	bin.13	bin.130	bin.108	bin.97	bin.3	bin.84	bin.46	bin.71	bin.49	bin.33	bin.128	bin.36	bin.20	bin.153	bin.115	bin.140	bin.102	bin.118	bin.91	bin.105	bin.69	bin.94	bin.56	bin.81	bin.18	bin.43	bin.138	bin.30	bin.8	bin.125	bin.150	bin.112	bin.79	bin.63	bin.66	bin.50	bin.28	bin.145	bin.53	bin.15	bin.148	bin.132	bin.40	bin.135	bin.99	bin.5	bin.122	bin.86	bin.89	bin.73	bin.35	bin.76	bin.60	bin.38	bin.22	bin.155	bin.25	bin.142	bin.104	bin.12	bin.107	bin.96
K03242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21162	0	0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	0	0	19	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	16	0	0	0	0	0	0	4	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	14	0	0	0	0	3	0	1	0	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	13	0
K21163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K21164	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07130	0	0	0	1	1	0	0	3	0	0	0	2	0	0	0	0	2	1	1	0	0	3	1	0	0	0	0	4	0	0	1	1	0	0	2	1	0	0	1	0	0	3	0	0	4	1	0	1	1	0	0	0	0	2	1	1	0	0	1	1	2	0	1	1	2	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	2	1	3	0	1	0	0	3	0	0	4	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	3	1	1	0	1	1	0	2	0	2	0	1	0	0	2	1	0	0	0	0	0	0	1	0	2	1
K07131	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0	3	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
K07133	0	7	1	0	0	2	0	1	0	1	1	0	1	0	1	0	1	0	12	1	0	0	0	0	0	0	1	0	11	2	0	2	4	0	0	1	0	0	2	5	1	0	2	1	0	0	0	1	20	0	5	1	2	9	1	1	0	0	2	1	1	0	0	0	1	1	1	5	0	0	0	1	0	3	0	0	2	0	0	5	0	0	0	0	9	0	0	3	1	0	0	0	1	3	0	0	5	0	0	0	0	4	0	2	1	0	0	1	1	0	0	2	0	0	3	0	3	1	1	1	5	0	3	4	8	1	0	10	0	1	4	2	1	0	1	0	3	0	0	0	0	5	1	0	0	21	1	3	0	2	0	1
K07134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07136	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
K12433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07137	2	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	2	0	0	1	0	0	1	1	1	0	1	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	2	2	2	0	1	0	0
K05895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
K07138	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0
K07139	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
K05896	2	1	2	1	1	0	1	2	1	0	0	2	2	1	0	0	0	2	1	1	1	2	1	0	2	1	1	2	0	1	1	0	1	2	3	2	1	1	1	1	2	2	1	0	1	2	0	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	0	0	1	1	1	1	2	0	1	0	1	0	2	0	1	1	2	0	0	0	1	1	0	2	0	0	1	0	2	1	0	1	2	2	2	1	0	2	0	1	1	1	0	0	0	1	2	0	2	1	2	1	0	2	0	0	1	0	1	0	0	1	1	2	4	2	0	2	2	1	1	0	0	0	1	1	1	1	2	0	2	1	2	1	2	1	1	1	2	2
K05898	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09780	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1
