MAG ID	Completeness	Contamination	Kingdom	Phylum	Class	Order	Family	Genus	Species
bin.105	90.92	5.61	Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	PALSA-986	
bin.1	81.8	0	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae		
bin.10	88.18	2.85	Bacteria	Deinococcota	Deinococci				
bin.100	96.39	0	Bacteria	Thermotogota	Thermotogae	Petrotogales	Kosmotogaceae	Mesotoga	Mesotoga prima
bin.101	74.7	4.55	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	RBG-16-51-16	
bin.102	71.24	5.17	Bacteria	Patescibacteria	Dojkabacteria	SC72	SC72	UBA5232	
bin.103	89.6	1.62	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Aquiflexum	
bin.104	71.82	5.45	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA4782	
bin.106	97.78	2.17	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A	Rhizobiaceae_A	Phyllobacterium	Phyllobacterium sp900539805
bin.107	90.52	2.19	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae		
bin.108	87.1	1.22	Bacteria	Firmicutes_B	Desulfitobacteriia	Desulfitobacteriales			
bin.109	72.77	1.15	Bacteria	Actinobacteriota	Thermoleophilia	UBA2241	UBA2241	UBA2241	
bin.11	85.74	0	Bacteria	Spirochaetota	Spirochaetia	Treponematales	UBA8932		
bin.110	86.39	1.92	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	
bin.111	70.77	3.33	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetaceae		
bin.112	93	0.99	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA1222		
bin.113	91.91	2.91	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	CSP1-1	
bin.114	87.01	1.79	Bacteria	Caldisericota	Caldisericia	Cryosericales	Cryosericaceae	Cryosericum	
bin.115	85.72	1.31	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus sp002497965
bin.116	82.3	8.36	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6107	
bin.117	74.84	0	Bacteria	Patescibacteria	WWE3	UBA101185	UBA10185	JAAZNV01	
bin.118	73.48	5.64	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	
bin.119	80.81	5.93	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
bin.12	79.66	0	Bacteria	Caldatribacteriota	JS1	SB-45	34-128	34-128	
bin.120	77.52	0.65	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	UBA467	
bin.121	91.94	0.84	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae		
bin.122	84.16	1.98	Bacteria	Firmicutes_E	DTU015	D8A-2	D2		
bin.123	70.69	9.48	Bacteria	Eisenbacteria	RBG-16-71-46	SZUA-252	SZUA-252	SZUA-252	
bin.124	71.55	0	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae		
bin.125	82.6	1.29	Bacteria	Desulfobacterota	Syntrophia	Syntrophales			
bin.126	81.62	0.85	Bacteria	Actinobacteriota	RBG-13-55-18	RBG-13-55-18			
bin.127	82.19	5.62	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	SZUA-320	
bin.128	76.54	1.36	Bacteria	UBA2233	UBA2233	UBA2233	UBA2233	UBA2233	UBA2233 sp011620345
bin.129	79.64	2.09	Bacteria	Chloroflexota	Anaerolineae	SBR1031	UBA2029	MO-CFX2	
bin.13	76.82	5.73	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	PSRF01	
bin.130	84.36	9.92	Bacteria	Bacteroidota	UBA10030	UBA10030	UBA10030	2-02-FULL-55-14	
bin.131	90.06	9.83	Bacteria	Tectomicrobia	Entotheonellia	Entotheonellales	Entotheonellaceae		
bin.132	86.27	2.03	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	UBA4778	UBA2192	UBA2192 sp002327315
bin.133	85.13	1.34	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	UBA7960	
bin.134	71.93	2.14	Bacteria	Actinobacteriota	Acidimicrobiia	UBA5794			
bin.135	74.86	5.64	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae		
bin.136	77.64	4.05	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	AV2		
bin.137	82.66	1.14	Bacteria	Acidobacteriota	UBA4820	UBA4820	DSQY01	DSQY01	
bin.138	80.16	1.83	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	Tenuifilum	Tenuifilum sp002383425
bin.139	75.99	6.67	Bacteria	CSP1-3	CSP1-3	CSP1-3	13-1-40CM-64-14	SpSt-315	
bin.14	76.7	0	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea	
bin.140	86.78	1.31	Bacteria	Firmicutes_B	Desulfotomaculia	Desulfotomaculales	Nap2-2B	SCADC1-2-3	
bin.141	80.6	5.52	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter_A	
bin.142	81.57	1.15	Bacteria	Spirochaetota	Spirochaetia	Treponematales	UBA12059	SZUA-370	
bin.143	82.34	1.79	Bacteria	Caldisericota	Caldisericia	B22-G15	B22-G15	JAAYUH01	JAAYUH01 sp012517755
bin.144	74.5	7.47	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Sep-70	VAYN01	
bin.145	80.52	8.62	Bacteria	Desulfobacterota_B	Binatia	Bin18	Bin18	JABFSC01	
bin.146	80.82	0	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	DRGT01	
bin.147	83.56	2.78	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	UBA9159		
bin.148	84	0	Bacteria	Elusimicrobiota	UBA8919	UBA8919	UBA8919	UBA8919	UBA8919 sp002402375
bin.149	89.52	1.99	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae		
bin.15	93.18	1.14	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalophaeraceae	FEN-1350	
bin.150	77.27	4.09	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	UBA6898	GW-Nitrospira-1	
bin.151	81.82	5.37	Bacteria	Desulfobacterota_D	UBA1144	UBA2774	CSP1-2		
bin.152	91.06	3.42	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	Saccharicenantaceae	Saccharicenans	Saccharicenans sp002441005
bin.153	74.05	8.62	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	
bin.155	78.53	7.05	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella	
bin.16	91.97	0.88	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae		
